precinct,A. D. NESBIT,ABBY BROYLES,BROCK PIERCE | KARLA BALLARD,DONALD J. TRUMP | MICHAEL R. PENCE,JADE SIMMONS | CLAUDELIAH J. ROZE,JIM INHOFE,JO JORGENSEN | JEREMY SPIKE COHEN,JOAN FARR,JOSEPH R. BIDEN | KAMALA D. HARRIS,KANYE WEST | MICHELLE TIDBALL,ROBERT MURPHY,TODD HAGOPIAN,TODD HIETT
90225,6,449,2,908,3,860,26,20,432,0,34,317,994
90226,2,88,1,359,0,344,5,3,76,1,4,55,364
90227,26,837,1,1757,4,1693,55,37,831,10,61,581,1927
90228,8,355,3,612,5,573,30,21,343,8,37,271,661
90300,11,331,0,1080,2,1040,35,15,322,5,43,238,1116
90301,19,606,3,1779,5,1699,54,34,591,11,72,425,1899
90302,5,389,7,1263,3,1196,39,30,366,2,53,294,1292
90303,15,711,2,1403,5,1354,31,23,705,9,47,468,1536
90304,13,341,3,991,7,916,26,34,347,4,46,273,1026
90306,17,605,1,1838,2,1737,35,40,607,8,61,432,1933
90308,7,99,1,489,1,479,8,5,101,0,10,74,510
90309,3,27,0,117,0,113,3,0,27,0,4,33,108
90398,0,0,0,0,0,0,0,0,0,0,0,0,0
90399,0,0,0,0,0,0,0,0,0,0,0,0,0
90400,7,128,3,789,6,759,9,6,118,1,20,111,790
90403,1,68,0,316,1,307,4,2,68,0,11,43,332
90404,3,42,0,207,1,191,4,6,32,0,1,31,202
90406,3,42,0,159,0,146,3,1,35,0,3,32,155
90408,3,58,0,272,1,252,6,7,51,1,10,39,279
90409,0,8,1,53,0,50,0,0,7,0,2,3,53
90502,0,34,0,196,0,190,0,0,29,2,3,18,205
90503,3,67,0,386,0,357,4,4,51,0,10,53,374
90504,13,496,1,1813,7,1734,36,14,454,12,56,353,1876
90506,23,1017,3,2700,8,2557,78,40,954,17,102,679,2892
100001,6,305,3,510,2,477,9,23,309,7,20,249,517
100002,9,265,2,589,1,582,10,16,289,4,20,201,614
100007,9,431,0,116,1,116,3,11,448,1,7,328,126
100011,2,189,2,292,1,286,6,9,191,7,11,145,311
100014,2,140,1,340,0,339,5,8,150,5,13,106,364
100015,6,280,1,787,1,766,9,9,281,2,18,197,796
100017,5,204,0,621,0,612,6,8,210,1,5,147,639
100019,14,446,1,1601,3,1569,19,18,459,7,39,290,1685
100020,11,297,2,586,1,568,16,16,303,11,24,240,608
100024,5,276,3,897,4,899,9,16,296,4,20,207,935
100025,1,78,0,407,0,403,13,3,76,3,14,69,415
100026,1,76,1,194,0,185,1,7,80,0,5,54,199
