precinct,A. D. NESBIT,ABBY BROYLES,BROCK PIERCE | KARLA BALLARD,DONALD J. TRUMP | MICHAEL R. PENCE,JADE SIMMONS | CLAUDELIAH J. ROZE,JIM INHOFE,JO JORGENSEN | JEREMY SPIKE COHEN,JOAN FARR,JOSEPH R. BIDEN | KAMALA D. HARRIS,KANYE WEST | MICHELLE TIDBALL,ROBERT MURPHY,TODD HAGOPIAN,TODD HIETT
210005,5,258,1,847,0,816,16,17,253,4,19,167,877
210006,10,183,0,647,0,614,3,10,185,2,14,114,651
210007,12,434,1,1473,3,1407,20,29,420,0,28,259,1535
210008,5,71,0,371,0,353,4,6,69,0,9,54,372
210009,16,350,1,1285,2,1226,15,22,339,3,23,201,1323
210010,0,8,0,43,0,39,1,1,5,0,0,5,42
210011,6,188,1,756,3,723,12,8,168,1,13,107,773
210012,5,145,1,486,1,458,4,7,135,2,11,93,498
210014,4,161,2,579,1,547,4,10,155,0,15,97,603
210015,3,181,1,660,1,624,3,11,170,2,15,111,668
210016,6,133,1,395,1,361,5,8,124,1,11,86,399
210017,2,96,0,277,1,249,3,4,78,2,7,53,278
210018,5,88,0,437,1,400,3,10,78,1,17,58,429
210019,4,148,1,791,5,750,13,22,129,2,17,99,787
210020,2,54,0,149,0,124,0,4,44,1,7,32,147
210021,1,23,0,127,1,119,2,5,22,2,3,19,128
210022,6,294,1,1039,3,970,12,19,251,3,17,201,1035
210023,7,111,1,651,3,625,4,9,104,2,9,68,655
220001,0,28,0,272,0,261,1,4,24,0,3,21,270
220002,1,7,0,109,0,101,0,0,6,0,5,7,105
220003,1,40,1,287,1,274,2,3,31,0,1,20,288
220004,0,21,1,122,0,114,0,3,16,0,2,15,120
220005,2,58,0,593,0,576,6,5,48,4,9,42,593
220007,0,13,0,73,1,67,0,0,9,0,2,8,73
220008,2,65,0,461,0,455,2,2,64,0,4,46,470
220009,1,10,0,159,0,153,1,2,8,1,3,4,162
220010,0,11,0,48,0,44,0,1,8,0,0,3,50
230001,3,58,0,412,0,394,5,4,46,2,5,21,433
230003,6,47,0,567,0,537,3,7,40,1,14,41,561
230004,2,15,0,91,1,85,2,1,13,0,3,15,89
230006,0,5,0,55,0,54,0,0,4,0,0,3,53
230007,1,31,0,258,0,249,2,3,31,0,3,19,261
230008,0,20,1,229,0,227,5,2,16,0,2,18,227
230009,0,11,0,76,0,75,1,1,12,0,1,7,76
240101,5,178,0,253,0,243,8,6,175,3,6,124,278
240102,5,196,1,363,3,355,14,18,219,2,22,166,387
240103,15,229,1,480,1,438,13,21,231,3,23,184,487
240104,12,239,2,482,4,466,15,16,250,3,21,190,514
240105,5,170,2,376,3,360,16,13,170,1,17,134,397
240106,6,72,0,393,3,367,4,4,54,3,6,32,409
240107,0,19,0,76,0,72,1,1,18,0,2,10,80
240108,2,17,0,99,0,90,0,1,14,1,3,16,94
240109,3,46,1,277,0,267,1,2,38,3,1,19,289
240110,4,188,1,565,3,544,12,11,191,3,21,146,581
240201,13,412,3,874,5,845,33,23,413,6,36,305,959
240202,6,354,3,944,1,901,11,23,354,2,29,232,1023
240203,12,151,0,437,2,388,16,8,137,2,29,123,426
240204,12,423,4,1222,4,1167,42,29,405,2,43,300,1291
240206,4,192,0,568,2,557,18,12,191,3,15,130,608
240207,8,108,3,613,5,580,16,16,102,4,27,99,619
240208,1,11,0,134,0,127,0,1,9,0,1,9,129
240210,3,58,0,366,0,340,4,6,49,2,11,27,380
240211,2,83,2,590,0,567,7,7,70,1,11,58,598
240212,3,50,0,347,0,340,3,2,52,1,6,40,345
240301,7,153,1,448,1,438,15,15,159,1,14,106,490
240302,14,403,4,1382,3,1343,24,22,410,7,42,278,1459
240304,9,331,1,1264,7,1230,18,21,331,6,29,228,1324
240305,3,272,1,1028,1,1022,20,8,262,5,16,129,1126
240306,4,144,3,508,0,495,10,5,144,0,13,82,543
240307,3,41,0,249,1,241,5,5,39,3,5,16,259
240308,3,148,1,721,2,708,11,10,149,1,14,79,766
240309,5,61,1,485,2,463,8,5,55,0,14,48,483
240310,5,107,3,527,4,501,8,9,95,1,14,70,551
240311,11,150,1,899,4,851,18,12,133,1,28,105,913
250001,5,73,0,445,1,424,2,7,65,2,4,36,450
250002,8,79,3,536,0,517,6,8,76,2,9,39,556
250003,3,89,1,670,1,636,2,11,73,1,8,65,668
250005,14,87,0,846,2,815,8,7,81,2,12,54,866
250006,5,83,0,286,0,269,6,8,76,2,6,52,297
250007,0,128,1,353,3,342,8,4,112,2,6,70,387
250008,5,121,0,422,0,399,7,9,119,5,15,86,438
250009,8,144,0,807,0,760,5,11,119,2,8,98,807
250013,1,62,1,300,0,291,5,6,54,2,3,38,299
250015,4,153,3,504,0,488,3,8,152,2,10,93,525
250016,3,113,0,570,0,551,2,6,109,0,9,63,585
250017,4,173,1,335,0,317,10,14,177,2,14,129,357
250018,14,250,1,891,4,857,17,8,238,2,22,167,934
250020,9,195,1,713,3,694,10,15,194,3,7,139,731
250021,0,3,0,11,0,11,0,0,3,0,0,4,10
250024,3,150,0,666,1,635,12,9,137,3,13,98,665
250025,3,90,0,523,3,498,12,6,80,2,18,59,531
260001,1,162,2,512,1,501,17,14,152,4,12,112,546
260002,8,214,2,708,0,684,10,6,207,1,11,122,740
260003,8,236,2,653,0,628,9,12,227,7,8,147,692
260005,5,204,1,312,1,298,6,12,212,6,15,165,318
260006,7,206,2,507,2,490,16,11,194,12,18,160,536
260008,1,207,1,424,3,408,13,14,199,2,13,156,442
260009,9,331,1,556,2,537,11,7,322,3,13,204,629
260011,1,59,0,367,0,359,3,3,59,1,5,39,378
260016,0,22,0,159,0,149,0,1,14,1,0,9,158
260017,7,52,0,238,0,221,4,4,48,1,5,44,236
260020,2,64,0,291,0,271,3,4,57,1,9,46,284
260021,1,53,0,236,1,219,4,3,43,0,6,32,239
260023,1,22,0,142,0,136,2,2,17,0,0,13,139
260025,5,101,1,417,0,395,10,4,86,4,10,60,430
260026,2,24,1,233,0,222,0,6,23,1,3,25,230
260027,3,68,0,348,0,332,3,2,60,0,7,44,348
260028,7,225,1,963,0,903,16,14,194,2,26,158,971
260029,7,207,1,1091,2,1029,13,19,174,8,24,142,1107
260031,4,82,1,467,0,444,8,4,70,2,13,69,460
260032,7,127,0,781,3,748,7,14,130,1,15,100,793
260033,3,49,0,251,0,238,2,4,47,0,6,35,248
260035,1,29,0,150,0,141,1,4,25,0,2,17,154
260036,8,182,0,1098,3,1037,12,22,158,1,18,117,1084
260037,11,402,6,1932,7,1867,34,26,367,2,38,289,1972
260038,19,303,1,1444,4,1371,19,24,279,1,31,211,1462
260039,10,200,2,1099,2,1049,9,16,177,2,15,130,1103
260040,11,310,1,1636,0,1552,30,18,278,2,45,235,1653
260041,11,362,4,1523,3,1471,25,13,325,3,29,214,1595
270011,1,28,1,111,0,105,2,1,23,0,1,15,117
270017,0,25,0,260,0,259,1,1,25,1,2,21,260
270023,0,78,0,498,1,473,4,6,68,0,14,52,500
270025,7,43,1,264,1,257,5,4,46,0,4,34,270
270026,5,29,0,234,0,218,4,4,25,0,5,29,230
270029,0,34,0,188,0,176,2,4,33,1,5,18,193
270030,2,67,0,361,0,347,6,4,60,0,6,46,361
280101,2,99,1,341,1,331,4,1,93,5,10,62,347
280102,7,103,1,466,1,444,6,7,99,3,11,71,473
280103,0,5,0,26,0,22,0,0,2,0,0,1,25
280105,2,17,0,86,0,79,1,2,14,1,2,8,91
280106,0,10,0,85,0,84,3,2,13,0,5,9,89
280202,4,68,0,382,1,362,6,4,64,0,10,47,390
280203,2,32,0,171,1,167,3,3,32,1,2,21,175
280302,1,13,0,48,0,45,1,0,11,0,0,9,44
290101,0,8,0,45,0,42,0,0,10,0,4,7,45
290102,1,47,0,264,0,256,1,3,47,0,2,29,267
290201,1,55,0,179,1,172,1,2,52,0,5,32,176
290203,0,5,0,27,0,25,0,0,4,0,0,2,25
290204,0,1,0,25,0,24,0,0,0,0,0,0,25
290301,0,44,0,87,1,90,1,1,45,1,0,25,99
290302,1,22,0,120,0,121,3,0,19,0,1,18,121
300201,5,55,1,532,0,508,9,6,39,2,7,39,520
300203,0,11,0,116,0,111,3,2,10,0,3,3,119
300301,0,39,1,219,0,212,5,8,39,1,5,28,224
300302,1,2,0,56,0,57,0,0,4,1,0,3,56
300303,0,7,0,107,0,108,0,1,11,0,2,4,113
300402,2,30,0,297,0,294,1,5,33,0,1,20,308
310007,0,41,2,249,0,233,3,3,30,1,6,26,239
310009,1,25,0,83,1,75,0,1,22,0,2,16,80
310011,3,31,0,165,1,152,1,4,28,2,6,17,167
310015,1,78,1,318,1,292,3,2,58,0,5,43,307
310016,3,90,0,379,0,365,3,7,86,3,3,50,389
310019,3,88,0,448,1,418,4,8,72,3,8,49,440
310023,4,128,1,483,3,457,4,3,108,0,7,83,476
310027,2,122,0,586,0,553,3,7,118,0,15,80,575
310030,5,84,1,402,1,373,2,4,67,0,5,52,393
310031,4,159,0,672,3,610,8,6,124,0,17,80,655
310032,3,80,1,380,1,364,6,4,70,2,7,46,388
320010,0,0,0,0,0,0,0,0,0,0,0,0,0
320011,2,119,1,463,1,432,6,4,100,1,10,64,463
320012,4,80,1,313,0,296,0,6,81,1,6,55,314
320016,3,37,0,142,0,130,0,2,33,1,2,24,142
320018,0,36,0,227,0,214,1,2,33,0,6,25,219
320019,0,22,0,94,0,94,0,0,21,1,1,18,90
320020,3,212,0,611,0,580,8,11,192,3,6,137,628
320021,1,78,0,192,0,179,4,5,72,2,6,54,198
320022,3,56,0,218,0,196,2,10,52,1,5,47,211
320023,0,22,0,126,1,114,1,4,19,0,4,17,121
320030,2,36,0,167,0,160,1,1,31,0,1,21,171
320031,0,38,0,240,0,235,1,6,41,0,3,28,244
320032,0,62,1,182,0,180,6,0,56,0,4,42,192
320033,1,30,0,247,0,240,0,3,31,0,2,21,246
320034,2,23,0,152,1,143,1,4,20,0,2,10,158
320035,5,151,2,501,3,467,10,7,137,1,17,114,504
330001,6,299,4,1237,2,1252,33,16,340,4,40,269,1266
330002,1,68,1,414,0,422,8,2,76,1,10,46,432
330003,5,174,0,342,2,350,14,16,209,4,20,164,350
330006,2,170,2,820,1,826,18,13,194,4,24,159,835
330007,5,154,1,407,2,404,15,8,170,2,24,140,426
330010,6,148,0,283,1,286,6,11,171,2,11,134,294
330014,6,214,2,663,1,662,21,17,238,2,25,184,690
330016,1,49,0,425,2,428,4,3,54,0,2,39,433
330017,5,22,0,264,0,257,4,2,26,1,7,18,262
330018,0,14,0,161,0,160,0,2,17,0,1,15,158
330019,0,15,0,133,0,129,1,1,14,0,4,8,133
330020,2,54,1,651,1,634,5,5,53,1,13,49,642
330021,0,10,0,78,0,79,1,2,14,0,1,11,79
330023,2,30,0,335,1,344,4,1,43,0,5,33,342
330024,0,26,0,179,1,174,3,1,27,0,7,25,178
340001,4,63,0,298,1,282,6,8,64,2,6,46,289
340002,1,25,0,255,2,257,6,4,32,0,5,23,255
340003,0,18,0,122,1,117,3,1,12,0,3,8,122
340004,2,19,0,88,0,84,1,1,20,0,2,12,90
340005,1,8,0,79,0,73,2,1,8,0,5,8,74
340006,1,69,2,305,0,292,1,5,66,2,5,39,294
340007,3,37,1,143,0,136,1,4,42,0,2,27,143
340008,1,3,0,49,0,47,2,1,3,0,2,3,48
340009,3,75,0,642,1,613,4,7,70,1,14,55,629
340010,0,6,0,45,0,42,0,0,2,1,1,1,45
350001,4,64,1,304,3,297,3,2,64,1,7,48,312
350002,1,73,0,166,0,155,7,4,73,1,11,61,174
350003,0,73,0,181,1,166,2,7,61,4,2,55,178
350004,2,163,0,533,1,522,8,8,166,3,15,143,529
350005,2,60,0,409,1,392,1,10,61,2,6,47,402
350006,2,48,1,285,1,271,1,5,47,0,5,39,276
350007,0,1,0,8,0,9,0,0,2,0,0,1,9
350008,3,27,0,231,0,219,0,3,24,0,3,28,221
350009,2,28,0,109,0,105,2,3,33,0,3,22,113
350010,2,10,0,98,0,92,1,1,8,0,1,7,91
350011,1,18,2,171,1,172,0,5,24,0,1,14,175
350012,4,64,1,402,1,382,3,3,53,4,5,47,389
350013,2,105,1,449,1,441,7,6,107,2,6,80,453
350014,1,15,1,95,0,95,2,0,15,1,3,10,99
360001,6,173,0,727,1,662,14,19,143,2,19,122,723
360101,10,190,2,503,0,472,11,12,180,3,12,129,534
360103,5,138,0,593,1,557,10,8,124,4,20,94,611
360202,7,170,2,553,1,520,11,16,164,1,21,105,586
360205,6,150,0,533,1,501,16,16,139,6,18,128,534
360206,14,164,1,903,1,869,12,13,160,6,23,114,925
360400,1,14,0,127,0,125,2,0,11,0,0,11,127
360401,1,16,0,52,0,46,1,0,13,0,2,5,55
360403,3,70,0,431,3,407,3,10,58,1,5,55,419
360404,2,29,0,130,0,124,7,3,27,0,5,21,140
360406,2,38,0,179,0,171,2,3,37,0,5,21,185
360407,0,3,0,40,0,38,0,0,1,0,0,3,37
360409,1,10,0,75,0,72,2,1,9,0,1,7,75
360411,0,30,0,148,1,136,0,4,22,1,3,20,144
360412,2,75,0,225,2,210,4,4,63,0,4,40,230
360413,5,239,4,820,0,803,11,8,238,0,17,154,856
360419,5,183,1,398,0,383,1,9,188,0,9,133,410
360420,4,42,0,270,0,258,1,7,43,2,6,35,273
360503,14,323,2,742,0,705,24,18,322,5,32,258,768
360507,12,183,0,444,1,418,17,18,184,4,18,130,468
360516,6,181,1,341,5,319,8,15,183,3,13,144,356
360517,8,256,2,431,2,419,13,11,267,3,20,216,454
360527,10,288,0,739,3,702,25,15,281,0,27,195,797
360530,1,241,1,593,1,577,11,19,244,1,10,170,620
360532,9,210,1,629,4,609,15,10,203,5,18,127,683
360533,8,240,3,638,0,603,12,19,239,1,19,174,661
360534,11,262,1,829,4,796,19,15,258,5,25,167,888
360535,8,241,2,741,1,717,13,13,239,2,17,149,795
370101,4,161,0,962,1,936,9,18,165,3,18,116,999
370102,0,32,1,243,0,231,2,1,21,0,1,15,242
370103,1,29,0,327,0,312,3,2,23,0,6,23,323
370105,5,131,0,631,2,594,11,14,122,2,24,100,639
370106,0,13,0,100,0,98,3,0,11,0,3,10,99
370201,6,177,2,969,2,922,9,14,171,1,33,128,993
370203,0,18,0,128,0,128,1,3,21,1,3,12,136
370204,1,37,0,284,0,269,2,0,28,1,7,21,286
370301,3,185,0,954,2,943,13,10,185,4,16,141,988
370302,2,68,0,435,1,417,9,7,63,0,14,46,440
370303,1,10,0,128,0,127,0,0,10,0,0,7,128
370304,0,10,1,163,1,172,1,0,16,0,0,17,162
370305,1,24,0,182,0,166,1,4,16,1,5,12,186
370306,0,0,0,15,0,17,0,0,2,0,0,0,17
380001,2,132,2,563,1,543,7,4,118,2,11,78,572
380002,0,35,0,135,0,134,3,1,38,0,3,19,144
380004,1,117,0,346,0,340,2,1,112,1,6,65,369
380005,1,15,0,35,0,33,1,0,17,1,2,10,37
380006,2,44,1,129,0,123,1,0,43,0,3,16,144
380007,0,0,0,11,0,12,1,0,0,0,0,1,11
380008,1,35,1,176,0,167,1,2,32,1,6,29,176
380009,0,5,0,24,0,22,0,0,3,0,0,3,24
380010,6,117,0,384,1,367,3,4,111,3,6,71,397
380011,0,13,0,107,0,103,0,1,10,0,0,6,110
380014,3,127,2,405,1,391,5,7,125,1,12,81,427
380015,1,26,0,126,1,129,8,2,28,0,5,28,132
380016,1,19,0,83,0,81,0,0,20,0,1,11,85
380022,1,45,0,149,1,147,1,1,42,2,2,32,149
390001,6,104,1,360,2,325,4,6,90,0,13,68,355
390002,3,158,0,362,0,322,8,11,141,2,9,105,363
390003,0,42,0,254,0,241,1,5,39,1,6,24,253
390004,0,64,1,207,0,192,2,4,53,0,1,31,212
390005,3,83,1,373,0,354,3,5,78,0,8,58,368
390006,0,29,0,151,0,139,1,3,23,0,3,18,149
390007,5,37,0,150,0,140,2,4,38,1,3,33,140
390008,6,60,0,355,1,333,4,4,49,0,6,48,337
390009,3,69,0,269,0,251,3,4,60,0,4,51,262
390010,1,65,1,250,0,227,0,4,51,0,3,31,250
390011,10,144,0,530,0,484,6,4,117,2,8,87,502
390012,3,28,0,176,0,164,1,3,23,2,3,19,170
400101,2,66,0,332,2,321,4,7,66,0,4,52,326
400102,1,84,0,412,0,391,4,13,82,1,7,63,412
400103,6,136,1,607,1,586,4,9,142,0,11,100,613
400104,0,117,0,57,0,53,3,3,117,0,2,78,59
400105,1,134,1,660,1,642,5,16,135,2,10,113,654
400106,6,153,2,551,1,528,11,12,155,1,18,115,555
400107,6,155,0,865,1,822,15,15,147,3,20,119,860
400108,3,89,0,390,0,371,5,6,86,1,10,66,389
400109,7,121,2,700,0,676,9,16,124,3,11,109,689
400110,4,112,0,521,0,486,7,6,98,3,14,83,510
400111,8,114,0,673,2,638,5,17,113,1,11,94,662
400112,0,28,0,151,0,147,0,2,27,0,0,17,147
400113,6,57,1,335,1,314,4,8,54,2,6,50,323
400114,0,39,0,166,0,154,1,6,38,1,3,15,166
400201,1,18,0,105,0,99,1,0,13,1,2,11,106
400202,1,33,0,178,1,171,3,4,31,0,4,41,166
400203,4,316,0,1071,0,1011,12,17,293,2,18,210,1071
400204,5,189,0,666,3,639,19,17,182,0,14,131,671
400205,3,83,0,284,1,277,4,4,80,2,2,70,282
400207,7,149,1,632,1,596,19,9,139,0,25,124,630
400208,4,152,0,519,1,495,13,9,159,1,27,142,502
400210,4,111,1,680,0,654,6,12,111,2,15,93,665
400211,1,117,0,553,0,514,5,12,100,0,9,86,525
400212,5,172,0,880,4,828,9,12,157,1,19,123,869
400213,0,13,0,74,0,72,1,0,13,0,2,12,69
400214,0,32,0,165,0,153,2,6,30,0,5,25,161
400215,0,49,0,248,0,239,5,1,40,1,3,29,246
400301,2,106,1,234,0,213,2,4,95,3,6,66,241
400302,6,72,1,497,1,473,8,3,61,1,11,42,497
400303,1,31,0,184,0,174,1,2,30,0,1,13,184
400304,1,29,3,227,0,222,3,1,25,0,2,19,220
400305,2,36,2,157,0,147,1,2,32,0,3,22,154
400306,1,11,0,97,0,94,0,1,11,0,0,6,92
400309,0,15,0,90,0,88,2,0,15,0,3,13,86
400310,6,133,0,564,2,542,14,11,129,4,14,103,568
400311,1,124,3,422,0,410,3,5,118,0,4,92,416
400312,5,66,1,266,0,244,4,1,51,0,4,42,252
410001,6,132,0,536,1,511,12,10,127,0,12,87,554
410002,5,151,0,671,0,639,8,9,142,3,15,100,693
410003,4,164,3,756,2,709,12,14,140,1,22,117,771
410004,3,54,1,381,2,365,0,4,47,0,3,42,379
410005,4,94,1,621,2,589,9,11,82,0,17,80,618
410006,2,61,1,259,1,247,4,8,60,1,6,47,252
410007,3,71,0,322,0,305,5,8,68,3,6,55,315
410008,5,199,2,859,4,830,18,13,191,2,30,175,854
410009,6,118,1,505,0,484,9,11,115,2,14,83,515
410010,2,183,0,721,0,688,15,9,166,1,17,112,742
410011,10,171,1,662,0,625,5,8,163,5,21,115,685
410012,8,230,1,499,1,471,8,8,226,1,14,150,535
410013,4,47,1,266,2,249,3,4,44,1,12,42,264
410015,8,200,3,961,0,915,15,19,198,1,32,155,959
410016,4,112,1,708,4,693,14,11,112,2,18,90,715
410017,3,57,0,207,0,188,3,9,51,1,4,48,198
410018,5,108,0,370,1,362,8,5,111,1,9,84,380
410019,4,134,1,652,0,624,6,11,121,5,9,82,668
410020,7,139,1,480,2,454,7,8,133,0,13,110,484
410021,7,168,0,837,2,792,20,16,151,0,22,135,833
410022,4,174,2,740,0,705,6,9,161,5,16,121,743
420101,5,129,1,675,1,658,9,7,130,5,17,98,697
420102,3,237,0,702,4,684,13,13,238,2,20,174,737
420103,13,678,2,1897,5,1830,38,27,656,8,54,439,2056
420104,11,360,1,1309,6,1254,26,12,335,8,40,287,1351
420105,2,242,2,614,0,595,23,8,238,2,31,181,640
420106,5,440,1,1243,4,1201,23,11,419,2,28,278,1321
420201,1,43,0,126,0,120,2,4,44,0,4,33,134
420203,5,108,1,366,1,360,23,8,111,1,21,94,382
420204,6,392,0,1036,4,1004,22,12,390,4,35,295,1091
420205,19,372,3,1361,4,1322,37,24,373,9,43,301,1404
420206,17,432,1,1059,3,1021,32,19,432,8,38,318,1110
420207,12,468,5,1417,1,1360,24,20,458,8,44,353,1465
420301,2,18,0,208,0,197,2,3,14,1,5,12,209
420302,0,11,0,116,0,113,1,2,10,0,2,6,122
420303,11,201,2,1108,1,1064,26,14,192,3,37,165,1128
420304,1,34,0,282,1,275,4,3,33,1,8,25,289
420305,5,207,2,592,2,567,16,17,206,2,18,152,627
420306,0,119,0,204,1,193,9,5,109,1,7,81,220
420307,8,372,3,659,0,615,20,19,372,1,30,264,694
420308,10,385,1,592,4,566,20,13,387,3,29,279,650
420309,0,19,0,34,0,34,1,0,21,0,2,15,37
420310,5,275,1,8,0,11,2,6,287,1,3,216,40
430101,3,74,1,291,0,285,4,5,81,1,8,59,296
430102,1,37,1,321,0,311,2,3,36,0,4,27,318
430103,3,110,0,650,2,633,15,8,103,1,14,86,650
430204,3,92,0,224,1,217,1,8,97,0,3,73,229
430205,4,83,0,487,2,476,3,7,86,3,11,50,491
430206,0,26,0,162,0,158,0,1,26,1,4,18,160
430207,1,17,0,55,1,57,0,0,19,1,0,6,59
430208,0,10,0,53,0,47,0,0,4,0,0,4,49
430310,7,99,0,273,0,270,5,5,107,0,4,77,271
430311,2,68,3,333,1,329,3,3,66,0,3,51,338
430312,3,54,0,296,0,295,2,3,64,2,5,41,299
430313,1,31,0,160,2,152,1,1,22,1,0,16,155
440001,1,42,1,256,4,245,1,1,33,0,5,17,267
440002,2,43,3,208,1,201,3,3,37,1,4,27,214
440003,3,37,0,207,1,199,2,3,39,0,6,24,213
440004,1,101,0,292,3,276,0,3,92,0,5,69,292
440005,7,100,0,646,0,628,12,6,92,1,11,71,661
440006,6,177,1,918,2,875,8,16,168,0,20,113,934
440007,4,82,0,321,0,290,4,5,64,6,10,56,320
440008,9,147,1,830,1,790,9,13,137,6,23,125,831
440009,4,360,0,806,1,806,19,8,364,1,15,213,892
440010,3,39,0,255,1,239,1,2,33,1,6,25,257
440011,2,74,0,415,1,397,2,4,73,0,13,48,419
440012,6,248,4,1017,1,953,12,20,225,3,31,155,1050
440013,10,546,3,2010,9,1907,49,42,503,14,68,376,2101
440014,2,152,0,583,2,560,14,7,138,2,16,106,607
440015,7,203,1,945,3,892,10,11,182,2,29,153,949
440016,8,222,0,915,2,880,12,7,202,7,22,141,953
440017,2,40,1,191,0,184,6,3,40,0,8,34,193
440018,4,111,2,606,1,590,9,4,107,1,14,85,624
440019,7,162,1,759,0,725,17,12,147,1,16,133,758
440020,8,101,0,583,1,561,5,3,95,1,9,72,586
440021,7,202,0,434,2,399,9,13,189,2,14,153,454
440023,1,173,0,535,2,522,6,4,164,3,8,107,571
440024,7,219,3,556,3,523,9,12,201,4,15,153,579
440026,1,44,0,207,0,195,5,3,36,0,6,34,207
440027,2,82,0,387,1,370,8,7,73,2,10,45,402
440028,5,154,0,413,1,396,4,1,148,1,13,95,436
450002,1,91,2,132,0,123,3,2,90,1,5,78,128
450004,4,163,0,442,1,411,8,9,159,1,14,108,458
450005,1,169,0,50,2,51,1,2,173,3,4,111,70
450006,6,126,1,393,3,376,5,8,125,3,8,81,401
450008,2,77,0,508,1,494,3,7,80,1,6,56,505
450009,5,142,0,404,2,384,5,7,138,1,9,115,398
450011,0,30,1,148,0,138,0,3,32,0,6,23,146
450012,0,58,0,77,0,76,1,1,61,1,1,29,79
450013,1,53,0,363,0,343,1,9,48,1,5,35,341
450014,0,20,2,164,1,157,1,2,15,0,3,11,162
450015,3,21,0,169,0,157,1,5,20,0,0,15,164
450017,1,104,0,296,0,283,5,7,101,1,7,87,284
450018,4,133,1,626,0,597,5,5,122,2,7,95,607
450019,6,77,0,495,0,467,1,5,73,0,10,63,470
450020,2,75,2,414,0,393,0,9,71,5,9,57,399
450022,2,32,0,323,1,311,2,2,30,2,7,28,306
450023,2,43,0,276,0,262,1,3,49,0,5,34,262
450024,2,24,0,193,0,182,0,2,21,0,0,15,188
450025,1,23,0,239,0,228,0,4,18,0,1,17,226
450026,0,16,0,208,0,201,0,1,17,0,1,14,201
450027,1,11,0,133,0,120,1,2,5,0,2,10,120
450028,0,2,0,112,0,106,1,1,1,0,1,3,103
450029,2,31,1,310,0,291,3,9,27,2,6,22,303
450031,7,90,0,632,0,613,6,3,90,3,13,63,632
450033,0,37,0,311,0,298,0,0,26,1,3,21,301
450034,2,32,1,341,0,329,3,4,29,1,7,25,332
450035,8,116,1,635,0,597,1,7,109,0,12,87,617
450036,1,53,1,469,0,444,0,2,43,1,5,34,450
450037,0,20,0,112,1,107,0,2,20,2,2,10,109
450038,2,72,2,510,0,482,6,9,65,1,13,49,497
460102,7,232,1,585,1,535,5,8,216,1,20,149,602
460103,10,364,2,871,2,800,15,15,327,3,24,252,896
460104,2,145,3,465,1,432,8,7,121,1,11,88,481
460201,11,355,4,733,2,680,13,17,338,1,18,228,786
460203,6,175,0,341,2,311,3,10,164,4,7,118,355
460205,11,279,1,1119,6,1066,10,16,256,3,20,170,1146
460307,3,122,0,379,2,348,2,8,101,1,4,72,388
460310,0,48,2,152,0,143,1,2,43,1,4,29,152
460311,1,78,0,198,0,179,1,6,69,1,4,41,209
460312,4,26,1,71,0,62,4,2,23,0,4,17,75
460313,0,27,1,112,0,104,3,3,21,0,3,17,111
460314,6,212,0,582,4,553,9,13,206,0,14,128,614
460315,1,56,0,227,1,211,0,1,43,1,1,33,224
460316,3,116,1,337,0,309,4,6,103,0,9,58,344
470002,1,82,1,748,2,723,2,7,73,1,13,54,752
470004,2,22,3,160,0,153,2,2,19,0,6,23,152
470009,0,5,0,61,0,61,0,0,6,0,1,2,61
470010,0,11,1,218,0,214,2,2,6,2,4,9,220
470015,1,16,0,225,0,222,3,1,16,0,4,11,227
470016,0,8,1,93,0,90,0,3,7,0,0,5,92
470020,4,119,0,856,2,835,10,9,114,1,16,79,875
470022,3,85,3,723,3,694,20,15,79,4,27,78,731
480101,2,141,0,591,1,570,7,9,139,2,16,105,597
480102,3,91,1,297,0,286,1,6,95,1,8,69,300
480105,4,65,0,321,0,313,9,4,67,0,10,51,323
480106,3,47,1,232,0,218,0,3,43,1,2,18,230
480201,2,81,1,251,1,253,2,1,81,1,2,47,267
480202,1,92,1,242,1,237,8,6,89,4,8,63,259
480204,2,87,1,478,1,465,3,7,88,0,8,68,474
480206,1,62,0,320,0,317,2,2,70,0,7,52,316
480302,2,83,1,432,0,426,2,5,88,0,7,55,443
480303,9,167,1,782,0,764,6,8,172,1,12,110,799
480304,9,172,0,945,1,920,10,12,168,1,10,111,949
490011,7,129,1,555,0,522,11,9,117,2,16,104,548
490012,6,148,2,524,2,488,5,12,130,3,12,93,539
490014,2,54,1,164,0,153,3,7,51,2,2,32,171
490015,6,133,0,414,2,383,10,10,124,2,17,92,432
490016,2,91,5,347,0,319,2,11,78,0,6,56,351
490020,3,212,3,760,1,727,13,11,190,2,16,132,792
490021,5,98,1,384,1,364,3,5,93,1,10,71,395
490022,1,115,1,532,1,484,6,10,95,1,21,92,512
490023,2,195,1,694,1,654,14,6,172,0,20,136,705
490024,6,109,0,453,0,427,4,6,98,3,9,73,458
490025,1,106,1,328,1,301,3,11,101,0,8,65,340
490026,0,10,0,53,0,50,0,0,8,0,1,2,51
490027,3,9,3,55,0,54,0,2,10,0,0,14,54
490031,5,200,0,714,1,684,9,13,199,1,18,131,726
490034,5,108,1,369,0,340,0,9,102,2,10,80,366
490036,10,341,3,1049,2,944,17,31,294,3,35,237,1050
490037,10,154,3,616,1,584,9,9,136,2,12,115,621
490038,4,71,0,222,0,206,2,1,62,0,5,45,230
490039,4,218,3,616,1,565,8,15,189,3,15,138,614
490101,2,150,1,337,0,305,7,10,133,1,12,95,352
